tract,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6
06071010901,0.04068876672805338,-0.0019536791148712,0.00427967562659097,-5.755181349715746e-5,-1.2598080973650648e-5,7.577578416347084e-7,-1.3407255709660311e-8
06071010902,0.04138985516856956,-0.00979592240009503,0.00646555837988773,-4.2664643069336865e-4,1.6819353430336148e-5,-2.781402822253548e-7,-2.0273398784162664e-10
06071011001,0.03514056643768612,-0.01888171781750701,0.00866019041422834,-9.901490801324127e-4,6.501450858645223e-5,-1.891385868579308e-6,1.856755592565601e-8
06071011002,0.06183858679870993,-0.02052588368961256,0.01267221006915337,-0.00145430112747742,8.958019879125213e-5,-2.6254222964222627e-6,2.8176813030973283e-8
06071011101,0.04658365795170077,-0.02006087652941127,0.01041720548919012,-0.00114210273157393,7.095656716278392e-5,-2.060676256957174e-6,2.1174599192168456e-8
06071011102,0.03554002245755141,-0.0120725269447145,0.00648545832966766,-5.30671866391788e-4,3.0128852886398466e-5,-8.20069570874829e-7,7.0329524646784e-9
06071011203,0.03373210646940459,-0.01607916551263185,0.00780955199893195,-8.631177745900523e-4,5.965177461473308e-5,-1.8773606298924136e-6,2.038150395755962e-8
06071011204,0.0404307660715774,-0.00583100842650921,0.00522209396896312,-2.0764156172953065e-4,4.279621886688371e-7,2.528495752197882e-7,-6.4440604137137545e-9
06071011205,0.03820441531036368,-0.02276050358629103,0.01048725236755737,-0.00133985804252035,9.148570565406118e-5,-2.754797779798675e-6,2.8828682162965272e-8
06071011206,0.03092215831085826,-0.0140483883347942,0.00665945058873465,-6.554516178820493e-4,4.134413630977874e-5,-1.1499014531389245e-6,1.000890162247656e-8
06071011300,0.0246233757841135,6.839044525234866e-4,0.00100532001285405,4.353521797219873e-4,-4.1788010702065326e-5,1.5409141456750375e-6,-2.139857905950986e-8
06071011401,0.03428652673391567,-0.01998708106400195,0.00871002814471213,-9.770022069090852e-4,6.559263568580291e-5,-1.990818752738266e-6,2.0785287014414e-8
06071011403,0.03149517744666832,-0.01741480422678244,0.00789333245279278,-9.124589150874108e-4,6.148158272553882e-5,-1.8043060998925023e-6,1.7587690206193613e-8
06071011404,0.03882165466731474,-0.01698771784715082,0.00829866102846775,-8.198193547345312e-4,5.037732776384965e-5,-1.4564172203882163e-6,1.4439384229124026e-8
06071011500,0.02972790040924989,-0.00275570652621349,0.00271600833846959,1.5852337664053166e-4,-2.1617955933716916e-5,8.664001738233772e-7,-1.3005386869655565e-8
06071011600,0.02422785557362642,8.307498270207476e-4,0.00109175383494708,3.779855223977991e-4,-3.502637845836153e-5,1.2543169703926846e-6,-1.731028698426881e-8
06071011700,0.03369617531302858,-0.02258144688884386,0.00991248071277766,-0.00128608399398303,9.222518314952288e-5,-2.921700324964543e-6,3.235800183711128e-8
06071011800,0.03468468284066105,-0.02326572707601198,0.00983894169745945,-0.00119864847889909,8.316281955052609e-5,-2.583756967290165e-6,2.8010376289509424e-8
06071011900,0.0419470375352215,-0.03445963329338927,0.01477700133140313,-0.00214576356927733,1.5717349284317635e-4,-5.088672782461523e-6,5.886769331643581e-8
06071012001,0.02654189640885062,-0.01193938949279572,0.00556582008150766,-5.158885357423091e-4,3.413569797712232e-5,-9.883034470628698e-7,8.746751388259338e-9
06071012002,0.02850705675765934,-0.01687572575796331,0.00756096766813418,-9.104653452895764e-4,6.566438548526571e-5,-2.0676309303051166e-6,2.2111010361313516e-8
06071012101,0.04436867775166552,-0.01237467121947728,0.00806838552435282,-7.730260570524657e-4,4.486746154651269e-5,-1.2445078359113817e-6,1.1878694856355326e-8
06071012103,0.0404637941703401,-0.03389773031611729,0.01413500467073908,-0.00201790537615783,1.4663917569052994e-4,-4.700472180717007e-6,5.360584874154685e-8
06071012104,0.03371676814771444,-0.00837572430409508,0.00508355664877218,-2.57085465305885e-4,8.473715384700471e-6,-8.95641769290536e-8,-1.832667535513095e-9
06071012200,0.04298792835769665,0.00164327799592058,0.00308195632706892,2.767157450704798e-4,-3.9744244946584863e-5,1.6026311649141712e-6,-2.243053433206453e-8
06071012400,0.03736997216777613,-0.02137390121280858,0.00941578072194484,-0.00104138884849753,7.035140963895528e-5,-2.2170221109198486e-6,2.468591185376756e-8
06071012500,0.03892476293367965,-0.02663407996637432,0.01122025966630627,-0.00136384244264261,9.0553823355703e-5,-2.699602842353712e-6,2.8172014286515767e-8
06071012700,0.02815982554691125,0.00278485715821249,9.20285730807202e-4,4.869958261566701e-4,-4.557449583634954e-5,1.600328737450599e-6,-2.1006801952220394e-8
06071025000,0.02527047826803832,-0.02257662484604693,0.00916050685925361,-0.0013217942017452,1.0153686124965324e-4,-3.3084331612317485e-6,3.714862242779558e-8
06071025100,0.02784679892110691,-0.02271192742060323,0.00902861224715053,-0.0011853672648392,8.255533866334288e-5,-2.4190388472572753e-6,2.3533535075397624e-8
06071940100,0.03472338164322192,-0.03351569239741218,0.01355670178311498,-0.0020213794266196,1.5017408521841643e-4,-4.833310699042598e-6,5.492066764664771e-8
06073000100,0.0766797493203087,-0.00403047264647448,0.0099626967954044,-5.872292541893654e-4,3.777022777016199e-6,5.670153717485952e-7,-1.2497694815181988e-8
06073000201,0.02544056720187832,0.0026329825982371,0.00249449905164018,-8.196525298797549e-5,9.381753099163016e-6,-4.832713275309617e-7,6.778545487542966e-9
06073000202,0.02563131357136676,-0.00124146890256097,0.0035143672892147,-2.676379647708929e-4,2.2984379758917884e-5,-8.942584721693415e-7,1.111510838186762e-8
06073000300,0.01575884460199978,-0.0063061588811343,0.00454253310633615,-7.200772712457218e-4,6.976874645463389e-5,-2.675448647765315e-6,3.4350382554808866e-8
06073000400,0.01209294763132316,-0.00154653790044832,0.00282349458764979,-4.654865376749753e-4,5.3976982187440035e-5,-2.2498043665810307e-6,3.023398427953056e-8
06073000500,0.02337214137612336,0.00341973121144204,0.00198105889537865,-1.374312021049003e-5,6.145502625848587e-6,-4.264989012736089e-7,6.567899147240478e-9
06073000600,0.01693644408379123,-0.00228089197421145,0.0032043706285822,-4.026215373396186e-4,4.186086858159572e-5,-1.670672129077421e-6,2.151666549076928e-8
06073000700,0.00761782173723879,0.01148999640627266,-0.00172634104956847,3.73123566738673e-4,-6.8907895123335415e-6,-3.8634180961780106e-7,9.789369470464037e-9
06073000800,0.0109147350846382,0.00431265384023163,4.66223059538574e-4,3.5676471552399425e-5,1.3386970362127668e-5,-8.691219824387119e-7,1.3338675335076457e-8
06073000900,0.00987733346664801,-0.00400776077131014,0.00315834397628924,-5.566836629430813e-4,6.19462177079414e-5,-2.506120291540976e-6,3.2967138197834283e-8
06073001000,0.01350774588566694,3.8913972661329903e-4,0.00199383525151333,-2.207960008203097e-4,3.089387380069667e-5,-1.3850026942451537e-6,1.8847734158743833e-8
06073001100,0.01091550705279937,0.00766214816590689,-5.718288002852055e-4,2.4509700409247777e-4,-2.2645085364849735e-6,-3.924039741737282e-7,8.240327839370657e-9
06073001200,0.01752599237405403,-0.01374122072717014,0.00626905628925043,-9.545613731480748e-4,8.049546403295301e-5,-2.7652871776487603e-6,3.2097796529914706e-8
06073001300,0.01221791199384581,-0.00316689374194955,0.00299599916338257,-4.593238812881766e-4,5.10809432048356e-5,-2.0724027340116783e-6,2.7097182165049872e-8
06073001400,0.01970985512936414,0.00501176614662676,0.00109929489488397,8.444741046165108e-5,2.1154288645167005e-6,-3.681803314681667e-7,6.507887939801684e-9
