county,county_geoid,commute_yr_a_int,commute_yr_a_pw1,commute_yr_a_pw2,commute_yr_a_pw3,commute_yr_b_int,commute_yr_b_pw1,commute_yr_b_pw2,commute_yr_b_pw3,commute_yr_c_int,commute_yr_c_pw1,commute_yr_c_pw2,commute_yr_c_pw3,commute_yr_d_int,commute_yr_d_pw1,commute_yr_d_pw2,commute_yr_d_pw3
Sierra,06091,64.865462420058,-31.3179117136017,5.048947244461095,-0.10396320651260628,0,0,0,0,0,0,0,0,21.371482707195568,-9.316769063963548,1.623831872721233,-0.03364897094758703
Siskiyou,06093,1865.5231731088002,-888.6562500033974,122.7637531323067,-2.1831170533689295,139.21344182496986,-64.76961646115592,9.474407428668611,-0.17515915210692978,149.36434719454576,-70.86966785412608,10.258062148963564,-0.1901399212367995,572.0723364470389,-267.4496600262249,39.72650090504439,-0.7477548020292003
Solano,06095,5241.579762329617,-2267.505736598914,435.60712091806107,-9.670578825682975,2887.3523396845053,-1213.2076785857535,238.1682894463747,-5.288731536009027,2478.6228781907953,-1040.553619160703,204.15859600964816,-4.52205727924771,7072.45434901255,-3017.093058387663,555.66483173273,-11.888679751923505
Sonoma,06097,9903.979973904561,-4305.452484903449,813.3166242097583,-17.791909922182892,4838.095075848363,-2048.3592892046045,401.188606242303,-8.89089112544243,2750.2892811993966,-1144.1525383898304,225.4435647200022,-4.9745331295223005,7209.849374535364,-3051.6679792901164,560.9077448145556,-11.973027462363804
Stanislaus,06099,9912.83986193065,-4594.215728681167,746.6121940944817,-14.972721952985157,3583.245602466445,-1642.4823174971,269.8243909926918,-5.46473497098161,2429.3645139599394,-1105.1749014277557,183.5798418981902,-3.752733449463917,7075.443608969727,-3090.408054033664,540.0534492853192,-11.253250767713032
Sutter,06101,1835.8353893585738,-857.8851215720972,135.09631222191305,-2.659609307579061,531.4337616199797,-243.75674912703852,41.42909681516915,-0.8633274985108694,305.1132417006777,-139.85168891351177,22.33327855022484,-0.4448665971321663,1253.3522377865397,-555.9053712438941,94.5839812190762,-1.9373102332330638
Tehama,06103,850.718797181477,-400.5775838881935,54.89449257067028,-0.9607033238507073,320.6152968744152,-150.35206234704032,21.12931459413132,-0.38168771534089274,412.34174288249784,-192.07831581599928,27.881064964495575,-0.5130474772179698,1239.1138659734788,-570.9907948028041,87.32765143156014,-1.677784469913781
Trinity,06105,292.34572714659646,-141.0079810524135,18.172643066129083,-0.2996661060295679,0,0,0,0,0.7621717654710134,-0.3643863452384533,0.04876811375611397,-8.535937965209897e-4,273.79181410871536,-128.67113267189055,18.504739900975565,-0.3384452323817809
Tulare,06107,7668.315143612279,-3564.3166881995844,543.7433208964193,-10.366008801395573,3332.2387043539748,-1559.201823038095,229.6416773584538,-4.266692086629825,2453.615997813779,-1150.3478033086726,167.62922832490406,-3.079870793667811,6053.781880788619,-2729.5306616329312,441.8502197979033,-8.778774745277508
Tuolumne,06109,833.9801209650831,-379.8782988176442,61.16867277565221,-1.2146989470898997,140.15023117572406,-64.40612681628258,10.021038732880337,-0.19638734654357698,233.2799852551101,-107.78371077471076,17.3927797909543,-0.35076955418348665,1096.3013154249516,-493.4793958051619,82.47008132982745,-1.679425898299513
Ventura,06111,12970.265969650676,-5494.102021903425,1069.4347522742737,-23.833530906691024,5975.582264616819,-2480.215763174448,492.8458664987859,-11.040037187045007,4131.245635294507,-1726.8032723594786,333.02256652305323,-7.349230949086331,11197.412553755572,-4881.315528844563,854.6043460755287,-17.964459401571048
Yolo,06113,2421.99085638237,-1054.8528690251574,187.69525804964692,-3.91664674509277,1543.0551625522885,-687.6158367742527,117.8766875579779,-2.419123789426749,1781.1228169206372,-789.8424254327008,140.35539350716627,-2.954687722320069,3883.444487118543,-1690.294608146188,302.11854039114763,-6.387339464548842
Yuba,06115,987.4075634335226,-465.69104021027033,72.44525435134946,-1.419451061432906,317.73824998762444,-145.3220511381019,25.348957559228044,-0.5372514783461786,152.60209031950063,-67.75167049898306,11.791667715140424,-0.24634070906033406,735.7515535427582,-328.0212937359356,55.186363364545535,-1.1239645352063434
