GEOID,N,Y,total_hh,home_charge_perc
06007000501,498,991,1489,0.6655473472128945
06007000502,966,708,1674,0.4229390681003584
06007000601,276,1048,1324,0.7915407854984894
06007000603,435,535,970,0.5515463917525774
06007000604,952,506,1458,0.34705075445816186
06007000700,861,1379,2240,0.615625
06007000800,517,1662,2179,0.7627351996328591
06007000901,231,809,1040,0.7778846153846154
06007000903,1407,1258,2665,0.47204502814258914
06007000904,961,1707,2668,0.6398050974512743
06007001000,775,929,1704,0.54518779342723
06007001100,692,948,1640,0.5780487804878048
06007001200,587,809,1396,0.579512893982808
06007001300,524,823,1347,0.6109873793615441
06007001400,373,1805,2178,0.8287419651056015
06007001500,442,1594,2036,0.7829076620825147
06007001600,364,1658,2022,0.8199802176063303
06007001702,552,1739,2291,0.7590571802706242
06007001703,201,863,1064,0.8110902255639098
06007001704,358,987,1345,0.7338289962825278
06007001800,504,1452,1956,0.7423312883435583
06007001900,205,965,1170,0.8247863247863247
06007002000,568,1466,2034,0.7207472959685349
06007002100,429,1075,1504,0.7147606382978723
06007002200,549,1456,2005,0.7261845386533666
06007002300,531,1459,1990,0.7331658291457287
06007002400,534,1591,2125,0.7487058823529412
06007002500,612,891,1503,0.592814371257485
06007002601,194,798,992,0.8044354838709677
06007002602,396,1225,1621,0.7557063541024059
06007002700,560,1588,2148,0.7392923649906891
06007002800,776,911,1687,0.5400118553645524
06007002900,242,651,893,0.729003359462486
06007003001,210,553,763,0.7247706422018348
06007003002,290,789,1079,0.7312326227988879
06007003100,289,1359,1648,0.8246359223300971
06007003200,411,1089,1500,0.726
06007003300,409,1230,1639,0.75045759609518
06007003400,278,806,1084,0.7435424354243543
06007003501,238,886,1124,0.7882562277580071
06007003502,380,1154,1534,0.7522816166883963
06007003600,212,1063,1275,0.8337254901960784
06007003700,381,1269,1650,0.769090909090909
06009000120,316,1505,1821,0.8264689730917079
06009000121,546,1574,2120,0.7424528301886792
06009000122,358,1168,1526,0.765399737876802
06009000210,673,3004,3677,0.8169703562686973
06009000220,336,1772,2108,0.8406072106261859
06009000300,670,1811,2481,0.7299476017734784
06009000400,220,987,1207,0.8177299088649544
06009000501,191,900,1091,0.8249312557286893
06009000503,91,583,674,0.8649851632047477
06009000504,40,197,237,0.8312236286919831
06011000100,430,1268,1698,0.7467608951707891
06011000200,561,1351,1912,0.7065899581589958
06011000300,432,1342,1774,0.7564825253664036
06011000400,201,697,898,0.7761692650334076
06011000500,296,649,945,0.6867724867724868
06013301000,394,1470,1864,0.7886266094420601
06013302005,714,1604,2318,0.6919758412424504
06013302006,193,1038,1231,0.843216896831844
06013302007,414,1581,1995,0.7924812030075188
06013302008,418,1844,2262,0.8152077807250221
06013302009,454,1672,2126,0.786453433678269
06013302010,426,2744,3170,0.865615141955836
06013303102,550,2297,2847,0.8068141903758342
06013303103,871,3036,3907,0.7770668031737906
06013303201,679,2514,3193,0.7873473222674601
06013303202,395,2036,2431,0.8375154257507199
06013303203,590,2395,2985,0.8023450586264657
06013303204,348,1345,1693,0.7944477259303012
06013303205,526,2934,3460,0.8479768786127168
06013304001,301,1611,1912,0.8425732217573222
06013304002,97,378,475,0.7957894736842105
06013304003,246,1264,1510,0.8370860927152318
06013304004,359,1318,1677,0.7859272510435301
06013304005,352,2070,2422,0.8546655656482246
06013305000,975,1244,2219,0.5606128886885985
06013306002,178,862,1040,0.8288461538461539
06013306003,495,1144,1639,0.697986577181208
06013306004,487,785,1272,0.6171383647798742
06013307101,296,1167,1463,0.797676008202324
06013307102,549,1198,1747,0.6857469948483114
06013307201,441,626,1067,0.5866916588566073
06013307202,1024,518,1542,0.3359273670557717
06013307204,199,1113,1312,0.8483231707317073
06013307205,1241,1352,2593,0.5214037794060933
06013308001,538,1929,2467,0.781921361978111
06013308002,183,1224,1407,0.8699360341151386
06013309000,512,740,1252,0.5910543130990416
06013310000,554,1160,1714,0.676779463243874
06013311000,439,1072,1511,0.7094639311714097
06013312000,324,411,735,0.5591836734693878
06013313101,1165,1499,2664,0.5626876876876877
06013313102,675,859,1534,0.559973924380704
06013313103,762,1888,2650,0.7124528301886792
06013313203,150,803,953,0.8426023084994754
06013313204,549,1206,1755,0.6871794871794872
06013313205,83,417,500,0.834
06013313206,395,1167,1562,0.7471190781049936
06013314102,510,1365,1875,0.728
06013314103,662,883,1545,0.5715210355987055
06013314104,1018,1504,2522,0.5963521015067407
06013314200,478,1346,1824,0.7379385964912281
06013315000,246,1045,1291,0.8094500387296669
06013316000,266,206,472,0.4364406779661017
06013317000,443,569,1012,0.5622529644268774
06013318000,557,1015,1572,0.6456743002544529
06013319000,915,2207,3122,0.7069186418962203
06013320001,256,927,1183,0.7836010143702451
06013320003,239,777,1016,0.764763779527559
06013320004,805,1749,2554,0.6848081440877055
06013321101,648,1686,2334,0.7223650385604113
06013321102,604,2064,2668,0.7736131934032984
06013321103,410,1405,1815,0.7741046831955923
06013321200,1146,1190,2336,0.509417808219178
06013322000,590,1930,2520,0.7658730158730159
06013323000,351,1381,1732,0.7973441108545035
06013324001,1963,1172,3135,0.37384370015948964
06013324002,1276,1048,2324,0.4509466437177281
06013325000,634,1608,2242,0.7172167707404103
06013326000,225,1135,1360,0.8345588235294118
06013327000,982,1873,2855,0.6560420315236427
06013328000,980,377,1357,0.2778187177597642
06013329000,563,1670,2233,0.7478728168383341
06013330000,321,1628,1949,0.8353001539250898
06013331000,917,1897,2814,0.6741293532338308
06013332000,682,2247,2929,0.7671560259474224
06013333101,344,1148,1492,0.7694369973190348
06013333102,431,1114,1545,0.7210355987055016
06013333200,512,1712,2224,0.7697841726618705
06013334001,547,928,1475,0.6291525423728813
06013334004,1354,1846,3200,0.576875
06013334006,305,1421,1726,0.8232908458864426
06013334200,632,2059,2691,0.7651430694908956
06013335000,227,935,1162,0.8046471600688468
06013336101,1040,552,1592,0.34673366834170855
06013336102,1909,813,2722,0.29867744305657606
06013336201,348,900,1248,0.7211538461538461
06013336202,1046,689,1735,0.39711815561959657
06013337100,304,926,1230,0.7528455284552845
06013337200,1405,1842,3247,0.5672928857406837
06013337300,495,1882,2377,0.7917543121581826
06013338101,916,971,1887,0.5145733969263381
06013338102,254,1116,1370,0.8145985401459854
06013338201,263,1188,1451,0.8187456926257753
06013338203,1669,1091,2760,0.3952898550724638
06013338204,1287,1605,2892,0.5549792531120332
06013338301,205,883,1088,0.8115808823529411
06013338302,420,1695,2115,0.8014184397163121
06013339001,1423,496,1919,0.2584679520583637
06013339002,2455,1206,3661,0.3294181917508877
06013340001,1022,1447,2469,0.5860672336978534
06013340002,663,2392,3055,0.7829787234042553
06013341000,804,1312,2116,0.6200378071833649
06013343001,835,1187,2022,0.5870425321463897
06013343002,565,1215,1780,0.6825842696629213
06013343003,296,1156,1452,0.7961432506887053
06013345101,454,1385,1839,0.7531266992930941
06013345102,127,1059,1186,0.8929173693086003
06013345103,362,1395,1757,0.7939669891861126
06013345105,501,1713,2214,0.7737127371273713
06013345108,1280,1936,3216,0.6019900497512438
06013345111,705,1149,1854,0.6197411003236246
06013345112,826,1532,2358,0.6497031382527566
06013345113,305,1256,1561,0.8046124279308136
06013345114,507,2081,2588,0.8040958268933539
06013345115,461,1472,1933,0.7615106052767718
06013345116,127,758,885,0.8564971751412429
06013345202,1294,1736,3030,0.572937293729373
06013345203,809,1924,2733,0.7039882912550312
06013345204,158,1088,1246,0.8731942215088283
06013346101,210,1110,1320,0.8409090909090909
06013346102,235,1693,1928,0.8781120331950207
06013346201,506,2359,2865,0.8233856893542757
06013346203,221,1254,1475,0.8501694915254238
06013346204,445,2199,2644,0.8316944024205749
06013347000,385,1926,2311,0.8334054521852012
06013348000,249,1352,1601,0.8444722048719551
06013349000,772,1350,2122,0.6361922714420358
06013350000,1061,1505,2566,0.5865159781761496
06013351101,1224,727,1951,0.3726294208098411
06013351102,1790,983,2773,0.3544897223223945
06013351103,844,514,1358,0.3784977908689249
06013351200,294,1803,2097,0.8597997138769671
06013352101,131,697,828,0.8417874396135265
06013352102,301,1540,1841,0.8365019011406845
06013352201,718,1728,2446,0.7064595257563369
06013352202,280,801,1081,0.7409805735430157
06013353001,260,1150,1410,0.8156028368794326
06013353002,183,1365,1548,0.8817829457364341
06013354001,112,649,761,0.8528252299605782
06013354002,463,2275,2738,0.8308984660336012
06013355107,275,1374,1649,0.8332322619769558
06013355108,627,3067,3694,0.8302652950730915
06013355109,405,1728,2133,0.810126582278481
06013355110,177,1025,1202,0.8527454242928453
06013355111,439,1511,1950,0.7748717948717949
06013355112,285,1784,2069,0.8622522957950701
06013355113,218,1480,1698,0.8716136631330977
06013355114,659,2854,3513,0.8124110446911472
06013355115,1256,1416,2672,0.5299401197604791
06013355116,642,1845,2487,0.7418576598311218
06013355117,261,1672,1933,0.8649767201241594
06013355200,740,2327,3067,0.758721878056733
06013355301,504,2375,2879,0.8249392150052102
06013355302,160,1067,1227,0.86960065199674
06013355304,586,2536,3122,0.8122998078155029
06013355306,250,1616,1866,0.8660235798499464
06013356001,229,1032,1261,0.8183980967486122
06013356002,424,1513,1937,0.7811048012390295
06013357000,534,908,1442,0.6296809986130375
06013358000,867,1397,2264,0.6170494699646644
06013359102,631,1317,1948,0.6760780287474333
06013359103,598,1321,1919,0.6883793642522147
06013359104,434,488,922,0.5292841648590022
06013359105,391,1337,1728,0.7737268518518519
06013359202,454,1725,2179,0.791647544745296
06013359203,496,1792,2288,0.7832167832167832
06013359204,308,1217,1525,0.7980327868852459
06013360101,327,1317,1644,0.801094890510949
06013360102,191,1260,1451,0.8683666436940042
06013360200,643,1132,1775,0.6377464788732394
06013361000,566,1199,1765,0.6793201133144476
06013362000,191,999,1190,0.8394957983193277
06013363000,728,1914,2642,0.72445117335352
06013364002,443,1348,1791,0.7526521496370743
06013365002,455,1025,1480,0.6925675675675675
06013365003,1358,985,2343,0.42040119504908235
06013366001,398,845,1243,0.6798069187449718
06013366002,708,1102,1810,0.6088397790055249
06013367100,844,1155,1999,0.5777888944472236
06013367200,618,1125,1743,0.6454388984509466
06013368001,517,792,1309,0.6050420168067226
06013368002,483,635,1118,0.5679785330948122
06013369001,1340,984,2324,0.423407917383821
06013369002,373,691,1064,0.6494360902255639
06013370000,247,890,1137,0.7827616534740546
06013371000,512,1435,1947,0.7370313302516692
06013372000,515,1780,2295,0.775599128540305
06013373000,402,751,1153,0.6513443191673894
06013374000,667,1104,1771,0.6233766233766234
06013375000,504,727,1231,0.5905767668562144
06013376000,605,1039,1644,0.6319951338199513
06013377000,1086,1179,2265,0.5205298013245033
06013378000,691,1048,1739,0.6026451983898793
06013379000,636,1273,1909,0.6668412781561027
06013380000,1520,1288,2808,0.4586894586894587
06013381000,834,1167,2001,0.5832083958020989
06013382000,1371,1420,2791,0.5087782156932998
06013383000,637,1395,2032,0.6865157480314961
06013384000,242,1389,1631,0.8516247700797057
06013385100,182,928,1110,0.836036036036036
06013385200,72,438,510,0.8588235294117647
06013386000,765,708,1473,0.48065173116089616
06013387000,481,629,1110,0.5666666666666667
06013388000,447,682,1129,0.604074402125775
06013389100,376,510,886,0.5756207674943566
06013389200,417,253,670,0.3776119402985075
06013390100,137,778,915,0.8502732240437159
06013390200,132,611,743,0.8223418573351279
06013391000,236,904,1140,0.7929824561403509
06013392000,157,957,1114,0.8590664272890485
06013392200,756,2309,3065,0.7533442088091354
06013392300,171,680,851,0.799059929494712
06015000101,751,1135,1886,0.6018027571580064
06015000102,390,943,1333,0.7074268567141786
06015000104,335,547,882,0.6201814058956916
06015000105,538,1914,2452,0.7805872756933115
06015000201,353,1117,1470,0.7598639455782313
06015000202,381,1087,1468,0.7404632152588556
06015000203,117,337,454,0.7422907488986784
