tract,total_tract_vehicles,total_tract_households
06065042737,1821.5454224500597,725.1437163316052
06065042738,5362.490492894622,2416.593210313307
06065042739,4883.967180948719,1893.564345156901
06065042740,1650.9825861059353,1056.8446181502648
06065042741,1734.181393350913,1282.7031645697928
06065042742,2940.1731029037082,1286.3548728363548
06065042743,2460.8782238210065,941.3092016225171
06065042744,2977.5585648986753,1017.0435076384581
06065042745,4017.6368854119273,2035.6170946757807
06065042800,4646.056267029754,2106.0226070377826
06065042901,4221.355449874425,1755.8951276997868
06065042902,3058.358049534641,1271.2462143314633
06065042903,3731.6325367863183,1391.0616526024783
06065042904,5428.602224661343,2217.9704565015045
06065043001,3995.498545651517,1967.4344019536668
06065043003,3663.5824228176966,1876.017863859243
06065043005,3534.0401114944393,1582.8850183384793
06065043006,2581.353643171259,1205.6840140414874
06065043007,4838.889507663475,1980.8972853049336
06065043008,4470.127016437522,1898.6206116417372
06065043009,3857.1129518396915,1458.6839818067979
06065043010,4068.570072645107,1595.5755243926149
06065043206,5223.764716619314,2481.6839858090902
06065043211,3905.306345011328,1522.3588861578187
06065043216,3780.2528938709374,2052.2955959285796
06065043217,2278.2426533549965,999.3728855184205
06065043218,4468.416925365082,1675.5868724616646
06065043220,3036.5044134691743,1607.582748424185
06065043222,3430.443786722131,1489.6218992265942
06065043227,5318.507316557764,2248.444847079213
06065043228,2519.3930324151856,1256.8197866929554
06065043229,3672.1841464620525,2198.4505316323903
06065043235,6232.342816961749,2446.106986650036
06065043239,5659.485528499711,2277.412112924367
06065043240,7141.634277909793,3059.756785508492
06065043242,6173.983471286214,2475.2998106111518
06065043244,7036.550554394449,2852.7975373299655
06065043246,4040.648835421765,1597.6845534485635
06065043247,8251.069093643417,3193.5973556438134
06065043248,3170.21758839675,1250.5078277022
06065043250,6314.315918087677,2744.4908037894315
06065043252,6124.970165146447,2460.2134055638503
06065043254,3593.1438597081838,1562.565934251285
06065043256,2514.04704212899,988.0827335619298
06065043257,6508.75558503247,2567.606577139827
06065043262,3766.6213198819246,1603.6878915435045
06065043264,5059.387004018997,2250.577907879335
06065043265,5486.9289747072,2297.362945777025
06065043266,3298.794760392599,1680.0066836646422
06065043267,4542.4970375603125,2032.0017777067883
06065043270,4067.044509596742,1486.3129093859882
06065043271,2771.429978582848,1009.884562406806
06065043272,4551.820560439177,1707.3526703228154
06065043274,1542.0170118772653,601.6824640063664
06065043276,2525.772879095427,963.3531233091976
06065043278,4410.856488788231,1765.6204330639139
06065043279,3708.562503761566,1496.9558133599003
06065043291,5989.439756747479,2941.4578400122123
